prg rom size: 0x4000, chr rom size: 0x2000
C79E  78        SEI                             A:00 X:00 Y:00 P:24 SP:FD CYC:12
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:282
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:284
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:287
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:291
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:293
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:296
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:300
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:302
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:305
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:309
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:311
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:314
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:318
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:320
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:323
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:327
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:329
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:332
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:336
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:338
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:341
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:345
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:347
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:350
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:354
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:356
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:359
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:363
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:365
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:368
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:372
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:374
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:377
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:381
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:383
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:386
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:390
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:392
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:395
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:399
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:401
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:404
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:408
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:410
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:413
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:417
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:419
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:422
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:426
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:428
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:431
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:435
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:437
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:440
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:444
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:446
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:449
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:453
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:455
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:458
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:462
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:464
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:467
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:471
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:473
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:476
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:480
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:482
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:485
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:489
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:491
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:494
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:498
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:500
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:503
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:507
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:509
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:512
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:516
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:518
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:521
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:525
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:527
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:530
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:534
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:536
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:539
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:543
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:545
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:548
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:552
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:554
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:557
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:561
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:563
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:566
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:570
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:572
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:575
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:579
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:581
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:584
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:588
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:590
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:593
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:597
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:599
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:602
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:606
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:608
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:611
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:615
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:617
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:620
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:624
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:626
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:629
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:633
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:635
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:638
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:642
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:644
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:647
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:651
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:653
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:656
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:660
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:662
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:665
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:669
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:671
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:674
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:678
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:680
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:683
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:687
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:689
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:692
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:696
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:698
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:701
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:705
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:707
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:710
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:714
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:716
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:719
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:723
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:725
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:728
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:732
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:734
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:737
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:741
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:743
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:746
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:750
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:752
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:755
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:759
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:761
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:764
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:768
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:770
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:773
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:777
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:779
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:782
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:786
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:788
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:791
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:795
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:797
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:800
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:804
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:806
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:809
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:813
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:815
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:818
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:822
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:824
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:827
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:831
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:833
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:836
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:840
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:842
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:845
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:849
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:851
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:854
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:858
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:860
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:863
